Perfil do osu!	Link do Mapa	Link da Skin	Link do Replay	Done	Posted	O que seria	Comentario aleatorio
- hiro - · player info | osu!	Shota Kageyama - Sentou de Pinch! · beatmap info | osu!	(skin do rafis) https://mega.nz/folder/yN8WEL5Q#ZsYbwaJI55WsremnksUSLQ	- hiro - - Shota Kageyama - Sentou de Pinch! [LOW HEALTH EXTRA!] (2024-09-04) Osu-3.osr	FALSE	FALSE	Speed Map	
- hiro - · player info | osu!	Adust Rain - Imperfect Cherry Blossom · beatmap info | osu!	rafis	unknown_replay_2024.09.05-20.35 - Trim.mp4	FALSE	FALSE	Segundo FC de DT BR	Replay (ultimo clip)
viniosu5654 · player info | osu!	VINXIS - Sidetracked Day · beatmap info | osu!	https://drive.google.com/file/d/1QqenvwRnFoLgduJEBOCaiTwUQI7tCPgJ/view?usp=sharing	viniosu5654 - VINXIS - Sidetracked Day [Daydream] (2024-09-06) Osu-1.osr	FALSE	FALSE	Melhor DT Acc BR	
https://osu.ppy.sh/users/25835620	Turbo - PADORU / PADORU · beatmap info | osu!	Skin do aristia+trail https://www.mediafire.com/file/fmmuq6020lb8sda/Aristia%2528Edit%2529+trail.osk/file	https://www.mediafire.com/file/9aja7h46lf8pb26/gamingchair_-_Turbo_-_PADORU__PADORU_%255BFiery%2527s_Extreme%255D_%25282024-09-14%2529_Osu-1.osr/file	FALSE	FALSE	5th DT FC	
delta · player info | osu!	Omoi - Snow Drive · beatmap info | osu!	https://dtta.s-ul.eu/oBI67s0F	https://dtta.s-ul.eu/Dhud9twR	FALSE	FALSE	Melhor Score de DT BR | 330bpm bursts	
vetoed · player info | osu!	Iyowa feat. Adachi Rei - Heat abnormal · beatmap info | osu!	aristia vitorskull	https://gayassbottom.s-ul.eu/jvRDogEB	FALSE	FALSE	SEGUNDO FC BR	
vetoed · player info | osu!	DJ Sharpnel - WE LUV LAMA · beatmap info | osu!	vitorskull aristia 2.1	https://osu.ppy.sh/scores/3655403984	FALSE	FALSE	Primeiro FC BR	
delta · player info | osu!	DM DOKURO - Roar of the Jungle Dragon · beatmap info | osu!	rafis 2018	https://dtta.s-ul.eu/4Ocvy9fM	FALSE	FALSE	Segundo Melhor Score de DT no Mapa	
luis10barbo · player info | osu!	penoreri - Reverenced Flower · beatmap info | osu!	Aristia(Edit).osk	https://osu.ppy.sh/scores/3673425115	FALSE	FALSE	Trágico...	
tayko · player info | osu!	Muzzy - Endgame · beatmap info | osu!	https://drive.google.com/drive/folders/10n_m9AC1RlhDg34z9PqU9UE7toWWYP6A?usp=sharing	replay endgame	FALSE	FALSE	Goat	
luis10barbo · player info | osu!	Wakeshima Kanon - World's End, Girl's Rondo(Asterisk DnB Remix) · beatmap info | osu!	https://skins.osuck.net/skins/866?v=0	luis10barbo - Wakeshima Kanon - World's End, Girl's Rondo(Asterisk DnB Remix) [We cry OPEN] (2024-10-24) Osu-1.osr	FALSE	FALSE	#10 br	
luis10barbo · player info | osu!	UKRampage - Jack-the-Ripper · beatmap info | osu!	https://skins.osuck.net/skins/866?v=0	https://osu.ppy.sh/scores/3924902736/download	FALSE	FALSE	score insano	
